Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (Ohio),,Amazon EC2,0,1352.42,16229.04,USD,"Operating system (Linux), Quantity (4), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (3000 GB), Instance type (t3.large)"
My Estimate,US East (Ohio),,Amazon RDS for MySQL,0,3837.2799999999997,46047.36,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (4000 GB), Quantity (2), Instance type (db.m5.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (Ohio),,S3 Standard,0,1150,13800.00,USD,S3 Standard storage (50000 GB per month)
My Estimate,US East (Ohio),,Data Transfer,0,0,0.00,USD,
My Estimate,US East (Ohio),,Amazon EC2,0,2581.04,30972.48,USD,"Operating system (Linux), Quantity (4), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (6000 GB), Instance type (m4.large)"
My Estimate,US East (Ohio),,Application Load Balancer,0,2076.85,24922.20,USD,Number of Application Load Balancers (2)
My Estimate,US East (Ohio),,Network Address Translation (NAT) Gateway,0,167.85,2014.20,USD,Number of NAT Gateways (1)
My Estimate,US East (Ohio),,VPN Connection,0,585,7020.00,USD,"Working days per month (22), Number of subnet associations (4), Number of Site-to-Site VPN Connections (2)"
My Estimate,US East (Ohio),,Amazon Route 53,0,1475.5,17706.00,USD,"Hosted Zones (1), Basic Checks Within AWS (3000)"
My Estimate,US East (Ohio),,Amazon ElastiCache,0,1992.9,23914.80,USD,"Nodes (3), Instance type (cache.r4.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Cache Engine (Memcached), Cache Node Type (Memory optimized), Pricing strategy (OnDemand), Nodes (0), Instance type (cache.r6gd.12xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Cache Engine (Redis), Cache Node Type (Memory optimized), Pricing strategy (OnDemand)"
My Estimate,US East (Ohio),,Amazon CloudWatch,0,3240,38880.00,USD,Number of Metrics (includes detailed and custom metrics) (12400)


Total:,,,,,18458.84,,USD
Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."

=> Add ElastiCache, CloudWatch 
upgrade performance for EC2, RDS, VPC, Application Load Balancer, Route53
